title,point,date,comment
TSMC eyes Germany as possible location for first Europe chip plant,340 points by stereoradonc,5 hours ago,241 comments
BLAKE3 1.0,43 points by ta988,1 hour ago,8 comments
Japan pitches 'Society 5.0' to keep its edge in tech and science,12 points by okareaman,20 minutes ago,1 comment
Reducing CO2 emissions by targeting the world's hyper-polluting power plants,46 points by jbotz,46 minutes ago,17 comments
Understanding Rust futures by going way too deep,277 points by tempodox,8 hours ago,71 comments
Launch HN: InstaKin (YC S21) - Help immigrants to manage tasks in home countries,42 points by yshirazi,1 hour ago,13 comments
Tether Executives Said to Face Criminal Probe into Bank Fraud,84 points by camjohnson26,1 hour ago,29 comments
Becoming a Chess Grandmaster,73 points by _ttg,4 hours ago,50 comments
Disinformation Evolved in 2020,24 points by Bluestein,2 hours ago,8 comments
"Finding Windows HANDLE leaks, in Chromium and others",92 points by ingve,7 hours ago,17 comments
"Disinformation for Hire, a Shadow Industry, Is Quietly Booming",133 points by rchaudhary,3 hours ago,109 comments
Windows Defender blocks qBittorrent,142 points by ethbr0,2 hours ago,124 comments
Some stuff I found interesting about number theory research,217 points by luu,11 hours ago,63 comments
My First CSS,218 points by nhardy,10 hours ago,74 comments
S.F. is considering downtown 'congestion pricing.' for those making $46K,24 points by lsllc,49 minutes ago,31 comments
Debian GNU/Linux running bare metal on the Apple M1 with a mainline kernel,158 points by nixcraft,4 hours ago,35 comments
Hillwalkers should love the Comte de Buffon (2020),71 points by ColinWright,7 hours ago,9 comments
Pronouncing non-English names for English speakers,232 points by ingve,14 hours ago,364 comments
Dlib: Modern C++/Python Toolkit for Machine Learning,83 points by hdjjhhvvhga,8 hours ago,15 comments
Deduplicating Archiver with Compression and Encryption,82 points by jiehong,10 hours ago,38 comments
"Steven Weinberg: What Is Quantum Field Theory, and What Did We Think It Is? (1997)",29 points by nabla9,2 hours ago,8 comments
Differences in Semiconductor Soft Errors Caused by Cosmic-Ray Muons and Neutrons,22 points by mkj,5 hours ago,8 comments
Heuristics for Effective Software Development: A continuously evolving list,86 points by dailymorn,9 hours ago,49 comments
Japanese Typewriters,83 points by mkchoi212,9 hours ago,40 comments
Cyber Insurance Incident Response: Market tends towards commoditization,20 points by EwanToo,4 hours ago,13 comments
Why does NBC make it so difficult to watch the Olympics?,117 points by bko,1 hour ago,82 comments
CSX 8888 Runaway Investigation (2001),25 points by Lammy,5 hours ago,20 comments
Google results for PHP tutorials contain SQL injection vulnerabilities,507 points by phil294,19 hours ago,288 comments
Nerdy Reading,24 points by masswerk,6 hours ago,11 comments
Introduction to open source private LTE and 5G networks,558 points by peter_d_sherman,22 hours ago,107 comments
Terracotta: Serverless GeoTiff Tile Server,34 points by xk3,9 hours ago,14 comments
Haiku Beta 3,144 points by bitigchi,10 hours ago,68 comments
"Anna Kiesenhofer: Mathematician, amateur cyclist, Olympic champion",618 points by billfruit,23 hours ago,158 comments
Binary representation of floating-point numbers,44 points by trekhleb,10 hours ago,11 comments
Seed storage devices - stress tests and reviews,17 points by galfarragem,5 hours ago,1 comment
Bank of America using intelligence firms to attack WikiLeaks (2011),36 points by ttctciyf,50 minutes ago,1 comment
Language records reveal a surge of cognitive distortions in recent decades,257 points by jbotz,19 hours ago,129 comments
Show HN: Qatalog.com – Rethinking a Platform for Work,14 points by philbo,3 hours ago,8 comments
Sargable Queries and MUL Indexes; or Why My Query Is Slow,14 points by thomascountz,8 hours ago,4 comments
"Please, enough with the dead butterflies (2017)",572 points by andrelaszlo,1 day ago,194 comments
The SaaS Org Chart,358 points by anacleto,22 hours ago,122 comments
Simulating worlds on the GPU: Four billion years in four minutes,335 points by xk3,21 hours ago,53 comments
Ttfautohint – a 99% automated font hinting process,52 points by pabs3,13 hours ago,12 comments
"Freenom, the free domains website, is a scam",285 points by hackermondev,19 hours ago,143 comments
Amazon reportedly has a ‘key’ to thousands of apartment buildings in US,12 points by BlackPlot,3 hours ago,11 comments
Tomato fruits send electrical warnings to the rest of the plant when attacked,250 points by rustoo,1 day ago,118 comments
Why Japan Didn’t Create the iPod (2008),124 points by sharjeelsayed,11 hours ago,115 comments
2020: Hydrogen-boron fusion could be a dream come true,21 points by ycnews,11 hours ago,4 comments
Ampache: An open source web based audio/video streaming app and file manager,119 points by LinuxBender,18 hours ago,25 comments
QR Codes Are Here to Stay. So Is the Tracking They Allow,19 points by pseudolus,3 hours ago,26 comments
Rumbling meteor lights up Norway; part of it may have landed near Oslo,134 points by DoreenMichele,21 hours ago,39 comments
The Hyper-Specialist Shops of Berlin (2019),90 points by suketk,16 hours ago,51 comments
How AstraZeneca threw away its shot,35 points by Quanttek,2 hours ago,14 comments
Leetcode Compensation report (India) Jan 2019 – Jul 2021,40 points by krumboy,6 hours ago,39 comments
Reversing for dummies – x86 assembly and C code,125 points by FrankSansC,18 hours ago,21 comments
Macro Edit: Democratizing Automation,23 points by jmercouris,14 hours ago,4 comments
Signal on Android: Images sent to wrong contacts,629 points by jiripospisil,21 hours ago,344 comments
Ncdu 2: Less hungry and more Ziggy,222 points by signa11,1 day ago,38 comments
My Fanless OpenBSD Desktop,256 points by rodrigo975,1 day ago,133 comments
Show HN: Job List,4 points by ngc6677,7 hours ago,1 comment
A Victoria man has gone two decades without money,186 points by 8bitsrule,1 day ago,340 comments
Dietary supplements causing severe liver injuries in Australians,9 points by elorant,4 hours ago,3 comments
How to model application flows in React with finite state machines and XState,42 points by boyter,12 hours ago,9 comments
Laptop to Lambda: Outsourcing Everyday Jobs to Thousands of Transient Containers,140 points by mlerner,22 hours ago,22 comments
Moon Tricks Tesla's Full Self-Driving Feature into Thinking It's a Yellow Light,23 points by clashmeifyoucan,9 hours ago,7 comments
Don't Be Anti Car. Be Pro Something Else.,123 points by DoreenMichele,18 hours ago,242 comments
"Hobson's Browser: How Apple, Facebook and Google broke the mobile browser market",110 points by feross,1 day ago,83 comments
Case of a Man 3 Doctors Declared Dead Who Woke Up Just Before His Autopsy,40 points by starkd,13 hours ago,5 comments
How the Python import system works,485 points by zikohh,2 days ago,191 comments
Amazon Web Services In Plain English (2019),277 points by mbildner,1 day ago,89 comments
Show HN: Grow your own with the Raspberry Pi,111 points by alexellisuk,22 hours ago,23 comments
"German gymnastics team, tired of sexualisation, wears unitards at Tokyo Olympics",51 points by DocFeind,16 hours ago,40 comments
Doodle Champion Island Games Begin,30 points by pjmlp,14 hours ago,9 comments
America's “Friendscape” Crisis,67 points by samizdis,22 hours ago,64 comments
UK Weather: Flooding in London after heavy rain,88 points by montalbano,18 hours ago,40 comments
Last of the Titans,33 points by chmaynard,1 day ago,4 comments
Self hosting is important,536 points by hucste,2 days ago,314 comments
The Assange case is collapsing but it remains a travesty of justice,414 points by thinkingemote,18 hours ago,281 comments
Tour of the Sacred Library,79 points by apsec112,22 hours ago,10 comments
"Launch HN: Exams, tasks, K8, eCommerce, cell sites, health, data quality, travel",215 points by dang,3 days ago,121 comments
How does AEMO predict demand in the National Electricity Market?,5 points by jbsimpson,12 hours ago,1 comment
Clubhouse is the big stinker that nobody wants to talk about,183 points by shp0ngle,1 day ago,128 comments
Types versus sets in math and programming languages,104 points by classified,1 day ago,52 comments
Pomodoro Sucks. Try Flowtime,7 points by bamey,6 hours ago,4 comments
1997: Achaea,43 points by paublyrne,17 hours ago,7 comments
Cats N Wires,69 points by polm23,20 hours ago,7 comments
US set for punishing temperatures as ‘heat dome’ to settle over country,110 points by pizza,9 hours ago,132 comments
The argument for switching off lights at night,57 points by throw0101a,21 hours ago,27 comments
Steven Weinberg has died,193 points by chmaynard,1 day ago,8 comments
Elixir: Practical Concurrency Cookbook,107 points by akbarnama,1 day ago,8 comments
Ad men sacked to improve gender pay gap win sex discrimination claim,176 points by thinkingemote,18 hours ago,109 comments
Board Games Have a Colonialism Problem,7 points by webmaven,5 hours ago,2 comments
BirdNet – Identify Birds by Sound,694 points by r_singh,3 days ago,151 comments
"Beneath Istanbul, Archaeologists Explore an Ancient City's Byzantine Basements",145 points by pseudolus,1 day ago,27 comments
Form Energy reveals the chemistry of its long-duration battery,190 points by courtf,1 day ago,133 comments
The 1.111B class of $0.99 .xyz domains white paper,32 points by xxyzz,14 hours ago,41 comments
An Empirical Study of Vulnerabilities in Cryptographic Libraries,103 points by signa11,1 day ago,56 comments
Is Aging Inevitable?,73 points by evo_9,12 hours ago,103 comments
Worse Is Better (2001),87 points by karimf,1 day ago,42 comments
Using Benford’s Law to Detect Bitcoin Manipulation,133 points by luu,1 day ago,79 comments
I Hacked My Standing Desk with a Raspberry Pi,99 points by giuliomagnifico,18 hours ago,54 comments
Prioritizing everything is prioritizing nothing,97 points by ramimac,1 day ago,19 comments
Fluxsort: A stable adaptive partitioning comparison sort,65 points by signa11,1 day ago,18 comments
Scott Aaronson's Tribute to Steven Weinberg,24 points by gautamcgoel,19 hours ago,1 comment
Show HN: A graveyard for my side projects,50 points by bilater,1 day ago,14 comments
The insect apocalypse: ‘Our world will grind to a halt without them’,58 points by tartoran,19 hours ago,7 comments
A Linux distro with a focus on simplicity and the concept of less is more,163 points by kimburgess,1 day ago,81 comments
Registry Explorer: Replacement for the Windows Built-In Regedit.exe Tool,146 points by ingve,1 day ago,50 comments
Inserting 130M SQLite rows per minute from a scripting language,160 points by mpweiher,1 day ago,21 comments
Nuclear power’s reliability is dropping as extreme weather increases,23 points by pseudolus,14 hours ago,6 comments
Hacking Is the Opposite of Marketing,152 points by cjlm,1 day ago,51 comments
Flying Only with the Heat of the Sun,84 points by john-doe,1 day ago,21 comments
A Fun List of Browsers,86 points by thunderbong,1 day ago,41 comments
A new air-conditioning system manages without nasty gases,72 points by prostoalex,21 hours ago,59 comments
"Apple can't handle the truth, so they delete and bury it",46 points by szhszder,8 hours ago,14 comments
Archaeologists find ancient Egyptian warship sunk near Alexandria,276 points by diodorus,2 days ago,68 comments
Finland provides housing and counseling to the homeless (2020),344 points by mpweiher,1 day ago,335 comments
Fun with Unix domain sockets,209 points by edward,2 days ago,64 comments
Prince Charles’ experimental city,84 points by classichasclass,1 day ago,29 comments
Americans' life ratings reach record high,125 points by gorwell,23 hours ago,181 comments
Amazon Is Creating Company Towns Across the United States,224 points by samizdis,1 day ago,248 comments
Show HN: ID Guard Offline – A Password Manager with great security design,9 points by oledeveloper,10 hours ago,1 comment
Empty storefronts are killing neighbourhoods,282 points by pseudolus,2 days ago,461 comments
Ruby Ractor Experiments: Safe async communication (2021),56 points by Lammy,1 day ago,11 comments
Multi-day iron-air batteries reach commercialization at 1/10th of lithium cost,23 points by mardiyah,22 hours ago,1 comment
Steven Weinberg (1933-2021): a personal view,24 points by furcyd,1 day ago,5 comments
Show HN: Website changes design each time you blink,257 points by monolesan,3 days ago,192 comments
How Do You Keep a Subway from Flooding in the Age of Rising Seas? (2019),84 points by alanwong,1 day ago,47 comments
Super MIDI Pak – Use Your SNES as a MIDI Synthesizer,108 points by rocky1138,1 day ago,25 comments
Launch HN: hotglue (YC S21) – Easy user-facing SaaS integrations,142 points by hsyyid,4 days ago,56 comments
Galleri: Interpreting results from GRAIL's multi-cancer early detection study,67 points by axg11,1 day ago,10 comments
Floating Point Expression Inspector,33 points by striking,1 day ago,3 comments
"Tylr: Demo of tile-based editing, a new kind of structure editing",217 points by polm23,2 days ago,39 comments
Reimagined toilets at a South Korea university transform human waste into biogas,62 points by anw,1 day ago,47 comments
Agile at 20: The Failed Rebellion,330 points by jetheredge,1 day ago,299 comments
On the lack of progress reports from the Mill project,66 points by signa11,1 day ago,40 comments
"Yep, it’s bleak, says expert who tested 1970s end-of-the-world prediction",28 points by tartoran,20 hours ago,5 comments
Elite Romans decorated their floors with garbage,94 points by ivanech,1 day ago,39 comments
The Day the Good Internet Died,13 points by yusuf_giftworks,13 hours ago,1 comment
Colorado is paying social media influencers to tout Covid-19 vaccines,21 points by lsllc,15 hours ago,18 comments
Amazon Echo Dot does not wipe personal content after factory reset,319 points by walterbell,1 day ago,97 comments
When Curation Becomes Creation,36 points by Hell_World,1 day ago,4 comments
How to spot a good fake ID,241 points by klevertree,2 days ago,300 comments
Migrating Facebook to MySQL 8.0,520 points by moneil971,3 days ago,325 comments
Amiga 2000 EATX PCB,136 points by doener,2 days ago,54 comments
Mixed Reality with Passthrough,147 points by bemmu,2 days ago,137 comments
When will we get secure desktop OSes? (2018),91 points by boramalper,1 day ago,97 comments
Windows Sysinternals: advanced system utilities and technical information,60 points by vsto,1 day ago,24 comments
Fibre broadband ‘gold rush’: can the UK’s alt-nets pull it off?,4 points by simonjgreen,7 hours ago,1 comment
Moon Tricks Tesla's Full Self-Driving Feature into Thinking It's a Yellow Light,18 points by tlochhead,18 hours ago,1 comment
Mysterious Russian Radio Station Called UVB 76,6 points by shankarro,9 hours ago,1 comment
New algorithm flies drones faster than human racing pilots,132 points by jonbaer,2 days ago,44 comments
A Contamination Theory of the Obesity Epidemic,12 points by higerordermap,11 hours ago,2 comments
"Intrinsic, a new Alphabet company",380 points by haberdasher,2 days ago,267 comments
Windows Command-Line Obfuscation,48 points by sam345,1 day ago,11 comments
Ask HN: Offline Learning Resources for Children,6 points by prawn,11 hours ago,6 comments
Neofetch: Command-line system information tool written in bash,148 points by ingve,1 day ago,51 comments
Purism is seeking investment from individuals,66 points by pipthepixie,1 day ago,59 comments
CudaText: Cross-platform code editor,196 points by nitinreddy88,2 days ago,66 comments
Are you happy? Self-reported well being doesn’t match with external observation,17 points by lkrubner,15 hours ago,4 comments
"Framework Laptop gets 10/10, fully replaceable",63 points by AbuAssar,1 day ago,22 comments
"I was sick, tired and had lost myself until I began lifting weights at 71",256 points by Tomte,22 hours ago,190 comments
Early-Morning Light Exposure Makes Mice Less Depressed,17 points by pseudolus,1 day ago,1 comment
Bootstrapping my old web dev ass after a year of unemployment,15 points by mlLK,14 hours ago,8 comments
Young investors say they were 'played' by influencer-endorsed cryptocurrency,9 points by MilnerRoute,12 hours ago,4 comments
Are locally produced solar modules the future?,74 points by Tomte,1 day ago,80 comments
Untethered,7 points by graeme,1 day ago,1 comment
PG&E will bury 10k miles of power lines so they don't spark wildfires,352 points by boulos,4 days ago,283 comments
What did the ancient Romans eat?,135 points by clouddrover,2 days ago,75 comments
Sheriff’s Office letter targets residents for ‘increased accountability’,140 points by walterbell,18 hours ago,68 comments
"PC can't be shipped to CA, CO, HI, OR, VT or WA due to power consumption",159 points by SQL2219,12 hours ago,215 comments
Rackspace literally decimates workforce: One in ten staffers let go this week,36 points by LinuxBender,22 hours ago,18 comments
"Electromagnetism is a property of spacetime itself, study finds",389 points by egfx,1 day ago,173 comments
To H-E-Double-Hockey-Sticks with Facebook,348 points by axiolite,1 day ago,173 comments
The Framework Laptop is now shipping,1478 points by ahaferburg,3 days ago,748 comments
Blockly: A JavaScript library for building visual programming editors,113 points by selvan,2 days ago,31 comments
The Tyranny of Spreadsheets,396 points by shortleash,3 days ago,271 comments
Large study finds Covid-19 is linked to a substantial drop in intelligence,41 points by belltaco,16 hours ago,7 comments
Could Vaccinating Young People Before Old People Save More Lives?,14 points by aidancooper,23 hours ago,24 comments
What is the best service in 2021 to incorporate in the US as non-US founder?,16 points by shorting24x7,1 day ago,4 comments
What annoys me about YouTube videos,40 points by tosh,1 day ago,24 comments
My Steam Game Revenue Stats,257 points by donislawdev,2 days ago,167 comments
Google broke a conditional statement that verifies passwords on Chrome OS,290 points by stalfosknight,3 days ago,269 comments
Reflections as the Internet Archive turns 25,362 points by ingve,4 days ago,118 comments
"Schools opened, suicide attempts in girls skyrocketed",253 points by aaronbrethorst,1 day ago,256 comments
Bringing supply chain security features to the Go community,182 points by lmas,3 days ago,62 comments
“Tivoization” and Your Right to Install Under Copyleft,93 points by pabs3,2 days ago,91 comments
AWS's Egregious Egress,723 points by jgrahamc,3 days ago,226 comments
"MicroK8s – Low-ops, minimal Kubernetes, for cloud, clusters, Edge and IoT",356 points by punnerud,4 days ago,136 comments
Launch HN: Spark Studio (YC S21) – Live online extracurricular courses for kids,32 points by anushreegoenka,2 days ago,15 comments
Floating wind turbines could rise to great heights,134 points by prostoalex,3 days ago,97 comments
The Web from 1989 to 1994,109 points by kamphey,2 days ago,22 comments
SpaceX Falcon Heavy rocket will launch NASA's Europa Clipper to icy Jupiter moon,146 points by _Microft,2 days ago,106 comments
Tobacco firm Philip Morris calls for ban on cigarettes within decade,18 points by samizdis,20 hours ago,12 comments
Open-source alternatives to popular B2B tools,450 points by deeptichopra,4 days ago,127 comments
The Realism of Our Times: Kim Stanley Robinson on how science fiction works,86 points by tws,3 days ago,86 comments
K-9 Mail is back,265 points by jlelse,2 days ago,131 comments
AlphaFold Protein Structure Database,314 points by matejmecka,3 days ago,58 comments
Having a go: US parents say Peppa Pig is giving their kids British accents,36 points by zeristor,1 day ago,34 comments
Open Decision-Making (2014),137 points by robfig,2 days ago,37 comments
Tweezers of sound can pick objects up without physical contact,46 points by geox,1 day ago,12 comments
Design for Obsolete Devices,90 points by polm23,2 days ago,32 comments
Old Vidme embeds turn into porn after domain purchase,200 points by ibaikov,2 days ago,113 comments
Cloudflare's Handling of an RCE Vulnerability in Cdnjs,108 points by sahin,2 days ago,3 comments
FBI Orchestrating Its Own Terrorism Plots,29 points by h2odragon,23 hours ago,2 comments
Zip – How not to design a file format,263 points by st_goliath,3 days ago,160 comments
China bans for-profit school tutoring in sweeping overhaul,232 points by hhs,1 day ago,219 comments
Launch HN: Payflow (YC S21) – Allow workers to access their wages instantly,85 points by asukhwani,4 days ago,92 comments
"Tesla AutoPilot – I give up, it's downright lethal",177 points by pcbro141,14 hours ago,189 comments
A rusty green early ocean? (2017),5 points by detaro,1 day ago,1 comment
Half of US states now using facial recognition to vet unemployment claims,179 points by pseudolus,1 day ago,148 comments
Beating the L1 cache with value speculation,156 points by rostayob,3 days ago,53 comments
Show HN: CiteIt – Building Trust in Responsible Media by Showing Quote Context,4 points by timlangeman,1 day ago,1 comment
A Tour of the Fuchsia Operating System [video],87 points by hortense,1 day ago,19 comments
The value of doing a little,188 points by trms,3 days ago,46 comments
Why is the university of California dropping the SAT?,286 points by throwkeep,2 days ago,585 comments
"Squashfs turning 20, Squashfs tools 4.5 released",67 points by st_goliath,2 days ago,14 comments
The Highest Forms of Wealth,206 points by joeyespo,1 day ago,99 comments
Learn Python by doing fun interactive exercises,113 points by damicoa1,3 days ago,39 comments
MicroLEDs Moving from Lab to Fab,90 points by giuliomagnifico,2 days ago,45 comments
Cryptocurrencies could lead to ‘limitless’ losses for UK government,16 points by samizdis,1 day ago,2 comments
The engineer preserving the last analog motion graphics machine (2017) [video],178 points by kilovoltaire,3 days ago,36 comments
“I would buy a Mac today if I was not working at Microsoft” (2004),124 points by renaudg,3 days ago,215 comments
The Rise of Olympic Skateboarding and the Debate over Skating Culture,6 points by evo_9,16 hours ago,1 comment
Australia’s trash bin-raiding cockatoos,141 points by NotSwift,3 days ago,95 comments
The Chernobyl Tragedy – From the Memoirs of Nikolai Ryzhkov,105 points by dkarras,2 days ago,34 comments
"LeVar Burton: 'Jeopardy ' host gig began 'scary,' ended fun",98 points by evo_9,1 day ago,25 comments
OpenSSH SSH-Agent Shielded Private Key Extraction (x86_64 Linux),21 points by rdpintqogeogsaa,2 days ago,1 comment
Fuzzing Modern UDP Game Protocols with Snapshot-Based Fuzzers,80 points by panic,4 days ago,14 comments
28 Books recommended by open source technologists,78 points by RickJWagner,1 day ago,9 comments
Implement unprivileged chroot,230 points by 0mp,4 days ago,57 comments
The Grayness of the Origin of Life,96 points by Breadmaker,2 days ago,71 comments
A database with 3.8B phone numbers from Clubhouse is up for sale,344 points by FabianBeiner,2 days ago,110 comments
CDC Retracts PCR Test,20 points by URfejk,1 day ago,2 comments
The Origin of Consciousness in the Breakdown of the Bicameral Mind (1976),253 points by Paul_S,4 days ago,158 comments
Inside TikTok’s Algorithm [video],103 points by hardmaru,3 days ago,75 comments
The Galileo Project: Daring to Look Through New Telescopes,79 points by madspindel,2 days ago,65 comments
"Disinformation for Hire, a Shadow Industry, Is Quietly Booming",10 points by rbanffy,19 hours ago,2 comments
OpenBSD Virtualization: Host and Guests on the Same Network,56 points by hucste,2 days ago,17 comments
The Dig,114 points by doppp,2 days ago,62 comments
The Antikythera Mechanism,92 points by jonnydubowsky,2 days ago,29 comments
Judges reject Viasat’s plea to stop SpaceX Starlink satellite launches,124 points by LinuxBender,2 days ago,78 comments
Rust for Linux redux,159 points by akvadrako,2 days ago,199 comments
Most URLs are syntactically valid JavaScript code,164 points by adius,3 days ago,72 comments
The LaTeX Font Catalogue,192 points by the-mitr,4 days ago,129 comments
Ransomware hackers remain largely out of reach behind Russia’s cybercurtain,10 points by paulpauper,18 hours ago,1 comment
Millions of student loan borrowers don't have a diploma to show for their debt,38 points by indigodaddy,1 day ago,20 comments
Twitter tests Reddit-style upvote and downvote buttons,225 points by arkadiyt,4 days ago,379 comments
"Without Enough Water to Go Around, Farmers in California Are Exhausting Aquifers",158 points by toomuchtodo,2 days ago,217 comments
Hacker News in the Style of Teletext,280 points by codetrotter,3 days ago,94 comments
Ask HN: What Technologies Are Used for Google Doodle Champion Island Games?,47 points by guuggye,1 day ago,11 comments
Helion Energy achieves fusion milestone,71 points by danboarder,4 days ago,79 comments
Can Physics Be Too Speculative?,11 points by Jerry2,1 day ago,2 comments
The Future of Ocean Farming,60 points by prostoalex,2 days ago,28 comments
"Starlink review, four months in",501 points by geerlingguy,4 days ago,373 comments
A YouTube chat about chess got flagged for hate speech,443 points by prostoalex,4 days ago,422 comments
Choose whether Search can show you personal results based on your Google Account,197 points by franze,2 days ago,136 comments
Two Japanese Jabberwocky Poems (2017),60 points by riboflavin,3 days ago,9 comments
Why are used cars so expensive right now?,53 points by rmason,18 hours ago,79 comments
"California sues Activision Blizzard over unequal pay, sexual harassment",418 points by cyb_,3 days ago,459 comments
KartaView: Yet another street-level imagery platform,47 points by panoramas4good,2 days ago,5 comments
What’s the matter with airports? (2011),56 points by NotSwift,1 day ago,118 comments
Huawei hiring former Democratic super lobbyist Tony Podesta,139 points by jimmy2020,2 days ago,83 comments
RNA demethylation increases rice and potato yields 50%,188 points by mleonhard,3 days ago,166 comments
The beauty of cheap products,57 points by elazzabi_,2 days ago,63 comments
Entropy and Algebra and Topology = ?,104 points by gbrown_,3 days ago,23 comments
Privacy is an afterthought. Here's how devs can easily make it better.,82 points by c1ll1an,3 days ago,43 comments
PinePhone – Open Source Smart Phone Supported by Major Linux Phone Projects,242 points by peter_d_sherman,1 day ago,245 comments
"Artists, shrug off that imposter syndrome – the tech world needs you",131 points by dfeusse,3 days ago,116 comments
Our need for true connection is giving rise to phone-free spaces,32 points by freediver,3 days ago,2 comments
HiveNightmare a.k.a. SeriousSAM – anybody can read the registry in Windows 10,170 points by OMGWTF,2 days ago,174 comments
Show HN: Alias – Google Alerts for your favorite people,148 points by jonathancai,3 days ago,85 comments
Edward Snowden on privacy and threats to democracy (2019) [video],110 points by hidden-spyder,2 days ago,1 comment
Tropical Rainforest Index,33 points by infodocket,2 days ago,6 comments
A crucial idea for silicon PV cells was excluded by a patent for 20 years,132 points by pfdietz,2 days ago,74 comments
How to install Linux instead of Windows 11,35 points by underscore_ku,1 day ago,17 comments
Switzerland's Gravity-Defying Irrigation Solution,37 points by samizdis,4 days ago,6 comments
Google now shows why it ranked a specific search result,179 points by vitabenes,3 days ago,115 comments
